,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
203121,5.1,15,0.5333329777780148,0.06666662222225185,0.0,0.19999986666675557,0.06666662222225185,0.1333332444445037,8.9,483,2461.455,2.1,0.606625246239643,0.06004140662440152,0.06625258662002927,0.15320910655881767,0.07660455327940884,0.037267079973766465,2.5999999999999996
202734,5.1,27,0.03703702331962099,0.25925916323734693,0.0,0.11111106995886298,0.0,0.5925923731139359,8.9,532,2461.455,2.1,0.22180450710893784,0.2744360850669909,0.0657894724475663,0.13533834332070785,0.043233081894115004,0.25939849136469,2.5999999999999996
1626143,5.1,30,0.0,0.3666665444444852,0.0,0.033333322222225924,0.0,0.5999998000000667,8.9,362,2461.455,2.1,0.013812154314581373,0.36740330476786454,0.0,0.03591160121791157,0.0,0.582872912075334,2.5999999999999996
203901,5.1,46,0.0,0.39130426275994284,0.0,0.0,0.0,0.6086955198488,8.9,411,2461.455,2.1,0.2335766366526366,0.23844281658289984,0.002433089965131631,0.029197079581579573,0.014598539790789787,0.48175181309606296,2.5999999999999996
203944,5.1,91,0.0,0.3736263325685349,0.0,0.05494504890713748,0.0,0.5714285086342298,8.9,1089,2461.455,2.1,0.14692378193825728,0.23599632473832577,0.020202020016510377,0.06611570187221578,0.011937557282483404,0.518824604969471,2.5999999999999996
1629026,5.1,17,0.0,0.0,0.058823494809708936,0.0,0.0,0.941175916955343,8.9,277,2461.455,2.1,0.4007220071941514,0.07942237980424623,0.0649819471125651,0.0649819471125651,0.08664259615008679,0.30324908652530375,2.5999999999999996
200746,5.1,45,0.0,0.37777769382717913,0.0,0.11111108641975856,0.022222217283951712,0.4888887802469377,8.9,1319,2461.455,2.1,0.028809704103034843,0.22289613174453274,0.0015163002159492023,0.43366186176147187,0.0015163002159492023,0.3115996943775611,2.5999999999999996
201158,5.1,18,0.055555524691375174,0.11111104938275035,0.0,0.11111104938275035,0.055555524691375174,0.6666662962965021,8.9,686,2461.455,2.1,0.4664722964071094,0.08454810372378858,0.04956268149325537,0.2244897926459214,0.05393585927207203,0.120991251880594,2.5999999999999996
202722,5.1,8,0.24999968750039064,0.6249992187509766,0.0,0.12499984375019532,0.0,0.0,8.9,450,2461.455,2.1,0.6377777636049387,0.07999999822222227,0.05111110997530867,0.09333333125925931,0.05555555432098769,0.08222222039506177,2.5999999999999996
201967,5.1,8,0.0,0.12499984375019532,0.0,0.0,0.24999968750039064,0.6249992187509766,8.9,157,2461.455,2.1,0.13375795326382464,0.1719745113392031,0.14649680595561745,0.1146496742261354,0.1273885269179282,0.3057324646030277,2.5999999999999996
201942,5.1,98,0.0,0.39795914306539354,0.0,0.14285712827988487,0.0,0.45918362661391565,8.9,1312,2461.455,2.1,0.01676829255511972,0.301829265992155,0.009908536509843472,0.42149389922641844,0.00685975604527625,0.24314024204923596,2.5999999999999996
1627854,5.1,35,0.19999994285715916,0.31428562448982156,0.0,0.14285710204082797,0.028571420408165595,0.31428562448982156,8.9,788,2461.455,2.1,0.4581218215974388,0.1345177647903837,0.036802029989821954,0.2258883220064934,0.025380710337808244,0.11928933858769876,2.5999999999999996
200752,5.1,35,0.0,0.42857130612248395,0.0,0.028571420408165595,0.0,0.5428569877551463,8.9,744,2461.455,2.1,0.16263440641620422,0.24193548061914677,0.0309139780791132,0.2809139747188982,0.05107526813070876,0.23252687859506885,2.5999999999999996
1629002,5.1,3,0.0,0.3333322222259259,0.0,0.0,0.0,0.6666644444518518,8.9,58,2461.455,2.1,0.03448275267538747,0.3448275267538747,0.0,0.32758615041618094,0.0,0.29310339774079347,2.5999999999999996
201988,5.1,12,0.16666652777789354,0.0,0.0,0.33333305555578707,0.0,0.49999958333368055,8.9,662,2461.455,2.1,0.46978851254095905,0.0422960718686394,0.06797582978888475,0.19788519338542004,0.0694864037841933,0.15256797352616355,2.5999999999999996
202700,5.1,1,0.0,0.0,0.0,0.0,,0.9999900000999989,8.9,6,2461.455,2.1,0.0,0.4999991666680556,0.0,0.16666638888935187,,0.33333277777870374,2.5999999999999996
1627751,5.1,19,0.0,0.5263155124655198,0.0,0.05263155124655198,0.0,0.42105240997241583,8.9,290,2461.455,2.1,0.0,0.19999999310344854,0.0,0.03793103317479196,0.0,0.7620689392390022,2.5999999999999996
202347,5.1,6,0.0,0.16666638888935187,0.0,0.16666638888935187,0.0,0.6666655555574075,8.9,58,2461.455,2.1,0.1551723870392436,0.1551723870392436,0.08620688168846867,0.06896550535077493,0.06896550535077493,0.46551716111773084,2.5999999999999996
1629022,5.1,3,0.0,0.0,0.0,0.3333322222259259,0.0,0.6666644444518518,8.9,46,2461.455,2.1,0.26086950850662854,0.10869562854442857,0.0,0.3043477599244,0.021739125708885716,0.3043477599244,2.5999999999999996
1628401,5.1,33,0.0,0.4242422956841528,0.0,0.06060604224059325,0.0,0.5151513590450426,8.9,543,2461.455,2.1,0.2173112298837711,0.23020257402941854,0.01104972355341209,0.20073664455365298,0.03314917066023627,0.30755063890330314,2.5999999999999996
1629121,5.1,7,0.0,0.4285708163274053,0.0,0.0,0.14285693877580175,0.4285708163274053,8.9,109,2461.455,2.1,0.5412843540106097,0.09174311084925588,0.018348622169851177,0.08256879976433029,0.11009173301910706,0.155963288443735,2.5999999999999996
